Pfam ID	number of PDBx structures	Family description
PF01676	77	Metalloenzyme superfamily
PF00285	77	Citrate synthase, C-terminal domain
PF00196	77	Bacterial regulatory proteins, luxR family
PF13434	76	L-lysine 6-monooxygenase (NADPH-requiring)
PF07652	76	Flavivirus DEAD domain 
PF05658	76	Head domain of trimeric autotransporter adhesin
PF02991	76	Autophagy protein Atg8 ubiquitin like
PF02540	76	NAD synthase
PF01842	76	ACT domain
PF01234	76	NNMT/PNMT/TEMT family
PF02973	75	Sialidase, N-terminal domain
PF02881	75	SRP54-type protein, helical bundle domain
PF02515	75	CoA-transferase family III
PF01742	75	Clostridial neurotoxin zinc protease
PF01243	75	Pyridoxamine 5'-phosphate oxidase
PF00588	75	SpoU rRNA Methylase family
PF00459	75	Inositol monophosphatase family
PF00448	75	SRP54-type protein, GTPase domain
PF00282	75	Pyridoxal-dependent decarboxylase conserved domain
PF10340	74	Steryl acetyl hydrolase
PF08003	74	Protein of unknown function (DUF1698)
PF05199	74	GMC oxidoreductase
PF03734	74	L,D-transpeptidase catalytic domain
PF02179	74	BAG domain
PF02171	74	Piwi domain
PF01915	74	Glycosyl hydrolase family 3 C-terminal domain
PF01702	74	Queuine tRNA-ribosyltransferase
PF07885	73	Ion channel
PF01138	73	3' exoribonuclease family, domain 1
PF00520	73	Ion transport protein
PF08543	72	Phosphomethylpyrimidine kinase
PF08423	72	Rad51
PF08031	72	Berberine and berberine like 
PF07687	72	Peptidase dimerisation domain
PF03319	72	Ethanolamine utilisation protein EutN/carboxysome
PF02321	72	Outer membrane efflux protein
PF01255	72	Putative undecaprenyl diphosphate synthase
PF00961	72	LAGLIDADG endonuclease
PF00705	72	Proliferating cell nuclear antigen, N-terminal domain
PF10604	71	Polyketide cyclase / dehydrase and lipid transport
PF09291	71	Domain of unknown function (DUF1968)
PF03602	71	Conserved hypothetical protein 95
PF02629	71	CoA binding domain
PF01288	71	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01123	71	Staphylococcal/Streptococcal toxin, OB-fold domain
PF00929	71	Exonuclease
PF00899	71	ThiF family
PF00603	71	Influenza RNA-dependent RNA polymerase subunit PA
PF00262	71	Calreticulin family
PF13458	70	Periplasmic binding protein
PF04041	70	beta-1,4-mannooligosaccharide phosphorylase
PF02558	70	Ketopantoate reductase PanE/ApbA
PF02475	70	Met-10+ like-protein
PF01652	70	Eukaryotic initiation factor 4E
PF01037	70	Lrp/AsnC ligand binding domain
PF00682	70	HMGL-like
PF00054	70	Laminin G domain
PF12804	69	MobA-like NTP transferase domain
PF12465	69	Proteasome beta subunits C terminal 
PF09055	69	Nickel-containing superoxide dismutase
PF07968	69	Leukocidin/Hemolysin toxin family
PF06001	69	Domain of Unknown Function (DUF902)
PF01242	69	6-pyruvoyl tetrahydropterin synthase
PF01116	69	Fructose-bisphosphate aldolase class-II
PF03450	68	CO dehydrogenase flavoprotein C-terminal domain
PF01909	68	Nucleotidyltransferase domain
PF01764	68	Lipase (class 3)
PF01451	68	Low molecular weight phosphotyrosine protein phosphatase
PF00941	68	FAD binding domain in molybdopterin dehydrogenase
PF00884	68	Sulfatase
PF00485	68	Phosphoribulokinase / Uridine kinase family
PF00425	68	chorismate binding enzyme
PF00341	68	PDGF/VEGF domain
PF00116	68	Cytochrome C oxidase subunit II, periplasmic domain
PF17297	67	Phosphoenolpyruvate carboxykinase N-terminal domain
PF13802	67	Galactose mutarotase-like
PF13545	67	Crp-like helix-turn-helix domain
PF05014	67	Nucleoside 2-deoxyribosyltransferase
PF04261	67	Dyp-type peroxidase family 
PF02915	67	Rubrerythrin
PF02747	67	Proliferating cell nuclear antigen, C-terminal domain
PF02502	67	Ribose/Galactose Isomerase
PF02450	67	Lecithin:cholesterol acyltransferase
PF01680	67	SOR/SNZ family
PF01522	67	Polysaccharide deacetylase
PF00821	67	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00328	67	Histidine phosphatase superfamily (branch 2)
PF00050	67	Kazal-type serine protease inhibitor domain
PF16279	66	Domain of unknown function (DUF4927)
PF13432	66	Tetratricopeptide repeat
PF07555	66	beta-N-acetylglucosaminidase 
PF04055	66	Radical SAM superfamily
PF03486	66	HI0933-like protein
PF03143	66	Elongation factor Tu C-terminal domain
PF00124	66	Photosynthetic reaction centre protein
PF16884	65	N-terminal domain of oxidoreductase
PF14748	65	Pyrroline-5-carboxylate reductase dimerisation
PF14226	65	non-haem dioxygenase in morphine synthesis N-terminal
PF10415	65	Fumarase C C-terminus
PF06827	65	Zinc finger found in FPG and IleRS
PF03275	65	UDP-galactopyranose mutase
PF03171	65	2OG-Fe(II) oxygenase superfamily
PF01746	65	tRNA (Guanine-1)-methyltransferase
PF00908	65	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00622	65	SPRY domain
PF00498	65	FHA domain
PF00456	65	Transketolase, thiamine diphosphate binding domain
PF00454	65	Phosphatidylinositol 3- and 4-kinase
PF00115	65	Cytochrome C and Quinol oxidase polypeptide I
PF06268	64	Fascin domain
PF04960	64	Glutaminase
PF03328	64	HpcH/HpaI aldolase/citrate lyase family
PF13202	63	EF hand
PF04253	63	Transferrin receptor-like dimerisation domain
PF01425	63	Amidase
PF00587	63	tRNA synthetase class II core domain (G, H, P, S and T)
PF16499	62	Alpha galactosidase A
PF08245	62	Mur ligase middle domain
PF05424	62	Duffy binding domain
PF03447	62	Homoserine dehydrogenase, NAD binding domain
PF02878	62	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF01751	62	Toprim domain
PF01182	62	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF00535	62	Glycosyl transferase family 2
PF00523	62	Fusion glycoprotein F0
PF00019	62	Transforming growth factor beta like domain
PF16497	61	MHC-I family domain
PF07938	61	Fungal fucose-specific lectin
PF02875	61	Mur ligase family, glutamate ligase domain
PF00970	61	Oxidoreductase FAD-binding domain
PF00563	61	EAL domain
PF03069	60	Acetamidase/Formamidase family
PF02784	60	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02274	60	Amidinotransferase
PF02055	60	Glycosyl hydrolase family 30 TIM-barrel domain
PF01699	60	Sodium/calcium exchanger protein
PF01404	60	Ephrin receptor ligand binding domain
PF00278	60	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00011	60	Hsp20/alpha crystallin family
PF17432	59	Domain of unknown function (DUF3458_C) ARM repeats
PF14575	59	Ephrin type-A receptor 2 transmembrane domain
PF13640	59	2OG-Fe(II) oxygenase superfamily
PF13181	59	Tetratricopeptide repeat
PF11940	59	Domain of unknown function (DUF3458) Ig-like fold
PF03331	59	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF02790	59	Cytochrome C oxidase subunit II, transmembrane domain
PF02087	59	Nitrophorin
PF01575	59	MaoC like domain
PF01156	59	Inosine-uridine preferring nucleoside hydrolase
PF01128	59	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF00743	59	Flavin-binding monooxygenase-like
PF00063	59	Myosin head (motor domain)
PF14604	58	Variant SH3 domain
PF13714	58	Phosphoenolpyruvate phosphomutase
PF09160	58	FimH, mannose binding
PF09006	58	Lung surfactant protein D coiled-coil trimerisation
PF07311	58	Dodecin
PF06351	58	Allene oxide cyclase
PF05711	58	Macrocin-O-methyltransferase (TylF)
PF02877	58	Poly(ADP-ribose) polymerase, regulatory domain
PF02585	58	GlcNAc-PI de-N-acetylase
PF01421	58	Reprolysin (M12B) family zinc metalloprotease 
PF01248	58	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF00604	58	Influenza RNA-dependent RNA polymerase subunit PB2
PF00464	58	Serine hydroxymethyltransferase
PF14833	57	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF03727	57	Hexokinase
PF02922	57	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02374	57	Anion-transporting ATPase
PF00373	57	FERM central domain
PF00349	57	Hexokinase
PF00087	57	Snake toxin and toxin-like protein
PF09334	56	tRNA synthetases class I (M)
PF07969	56	Amidohydrolase family
PF06013	56	Proteins of 100 residues with WXG
PF05995	56	Cysteine dioxygenase type I
PF03793	56	PASTA domain
PF03160	56	Calx-beta domain
PF02821	56	Staphylokinase/Streptokinase family
PF01729	56	Quinolinate phosphoribosyl transferase, C-terminal domain
PF01513	56	ATP-NAD kinase
PF01464	56	Transglycosylase SLT domain
PF01152	56	Bacterial-like globin
PF00693	56	Thymidine kinase from herpesvirus
PF00681	56	Plectin repeat
PF00612	56	IQ calmodulin-binding motif
PF00536	56	SAM domain (Sterile alpha motif)
PF00433	56	Protein kinase C terminal domain
PF13247	55	4Fe-4S dicluster domain
PF07953	55	Clostridium neurotoxin, N-terminal receptor binding
PF07951	55	Clostridium neurotoxin, C-terminal receptor binding
PF07702	55	UTRA domain
PF07648	55	Kazal-type serine protease inhibitor domain
PF03066	55	Nucleoplasmin/nucleophosmin domain
PF02765	55	Telomeric single stranded DNA binding POT1/CDC13
PF02749	55	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02258	55	Shiga-like toxin beta subunit
PF02152	55	Dihydroneopterin aldolase
PF01321	55	Creatinase/Prolidase N-terminal domain
PF01226	55	Formate/nitrite transporter
PF01202	55	Shikimate kinase
PF00686	55	Starch binding domain
PF00024	55	PAN domain
PF13733	54	N-terminal region of glycosyl transferase group 7
PF13242	54	HAD-hyrolase-like
PF06026	54	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF05222	54	Alanine dehydrogenase/PNT, N-terminal domain
PF03725	54	3' exoribonuclease family, domain 2
PF02979	54	Nitrile hydratase, alpha chain
PF02709	54	N-terminal domain of galactosyltransferase
PF02222	54	ATP-grasp domain
PF01477	54	PLAT/LH2 domain
PF00977	54	Histidine biosynthesis protein
PF00698	54	Acyl transferase domain
PF00625	54	Guanylate kinase
PF00600	54	Influenza non-structural protein (NS1)
PF00403	54	Heavy-metal-associated domain
PF00228	54	Bowman-Birk serine protease inhibitor family
PF00188	54	Cysteine-rich secretory protein family
PF14310	53	Fibronectin type III-like domain
PF08450	53	SMP-30/Gluconolaconase/LRE-like region
PF05891	53	AdoMet dependent proline di-methyltransferase
PF05185	53	PRMT5 arginine-N-methyltransferase
PF03717	53	Penicillin-binding Protein dimerisation domain
PF02863	53	Arginine repressor, C-terminal domain
PF02338	53	OTU-like cysteine protease
PF01221	53	Dynein light chain type 1 
PF01212	53	Beta-eliminating lyase
PF00798	53	Arenavirus glycoprotein
PF00762	53	Ferrochelatase
PF00345	53	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00265	53	Thymidine kinase
PF00004	53	ATPase family associated with various cellular activities (AAA)
PF13517	52	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella
PF08244	52	Glycosyl hydrolases family 32 C terminal
PF08028	52	Acyl-CoA dehydrogenase, C-terminal domain
PF04203	52	Sortase family
PF03281	52	Mab-21 protein
PF02566	52	OsmC-like protein
PF02430	52	Apical membrane antigen 1
PF00855	52	PWWP domain
PF00732	52	GMC oxidoreductase
PF00290	52	Tryptophan synthase alpha chain
PF00251	52	Glycosyl hydrolases family 32 N-terminal domain
PF13462	51	Thioredoxin
PF13192	51	Thioredoxin domain
PF13041	51	PPR repeat family 
PF05343	51	M42 glutamyl aminopeptidase
PF04998	51	RNA polymerase Rpb1, domain 5
PF03576	51	Peptidase family S58 
PF01663	51	Type I phosphodiesterase / nucleotide pyrophosphatase
PF01583	51	Adenylylsulphate kinase
PF00305	51	Lipoxygenase
PF00235	51	Profilin
PF03740	50	Pyridoxal phosphate biosynthesis protein PdxJ
PF03009	50	Glycerophosphoryl diester phosphodiesterase family
PF02390	50	Putative methyltransferase 
PF02277	50	Phosphoribosyltransferase
PF02221	50	ML domain
PF02097	50	Filoviridae VP35
PF01967	50	MoaC family
PF01817	50	Chorismate mutase type II
PF01633	50	Choline/ethanolamine kinase
PF01297	50	Zinc-uptake complex component A periplasmic
PF01263	50	Aldose 1-epimerase
PF00801	50	PKD domain
PF00431	50	CUB domain
PF00412	50	LIM domain
PF00377	50	Prion/Doppel alpha-helical domain
PF12708	49	Pectate lyase superfamily protein
PF08753	49	NikR C terminal nickel binding domain
PF06426	49	Serine acetyltransferase, N-terminal 
PF05191	49	Adenylate kinase, active site lid
PF04069	49	Substrate binding domain of ABC-type glycine betaine transport system
PF03309	49	Type III pantothenate kinase
PF02785	49	Biotin carboxylase C-terminal domain
PF01946	49	Thi4 family
PF01450	49	Acetohydroxy acid isomeroreductase, catalytic domain
PF01113	49	Dihydrodipicolinate reductase, N-terminus
PF00875	49	DNA photolyase
PF00289	49	Biotin carboxylase, N-terminal domain
PF00197	49	Trypsin and protease inhibitor
PF13840	48	ACT domain 
PF13365	48	Trypsin-like peptidase domain
PF13364	48	Beta-galactosidase jelly roll domain
PF07244	48	Surface antigen variable number repeat
PF06778	48	Chlorite dismutase
PF03472	48	Autoinducer binding domain
PF02026	48	RyR domain
PF01928	48	CYTH domain
PF01674	48	Lipase (class 2)
PF01571	48	Aminomethyltransferase folate-binding domain
PF01509	48	TruB family pseudouridylate synthase (N terminal domain)
PF01505	48	Major Vault Protein repeat
PF01030	48	Receptor L domain
PF00834	48	Ribulose-phosphate 3 epimerase family
PF00486	48	Transcriptional regulatory protein, C terminal
PF00046	48	Homeobox domain
PF13844	47	Glycosyl transferase family 41
PF13720	47	Udp N-acetylglucosamine O-acyltransferase; Domain 2
PF13522	47	Glutamine amidotransferase domain
PF11844	47	Domain of unknown function (DUF3364)
PF08669	47	Glycine cleavage T-protein C-terminal barrel domain
PF03067	47	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF02661	47	Fic/DOC family
PF02441	47	Flavoprotein
PF02254	47	TrkA-N domain
PF01195	47	Peptidyl-tRNA hydrolase
PF01006	47	Hepatitis C virus non-structural protein NS4a
PF00534	47	Glycosyl transferases group 1
PF00481	47	Protein phosphatase 2C
PF00296	47	Luciferase-like monooxygenase
PF16487	46	Mid domain of argonaute
PF09445	46	RNA cap guanine-N2 methyltransferase
PF09127	46	Leukotriene A4 hydrolase, C-terminal
PF07876	46	Stress responsive A/B Barrel Domain
PF06369	46	Sea anemone cytotoxic protein
PF05430	46	S-adenosyl-L-methionine-dependent methyltransferase
PF02310	46	B12 binding domain
PF01740	46	STAS domain
PF01551	46	Peptidase family M23
PF01472	46	PUA domain
PF01112	46	Asparaginase
PF01108	46	Tissue factor
PF00975	46	Thioesterase domain
PF00781	46	Diacylglycerol kinase catalytic domain
PF00709	46	Adenylosuccinate synthetase
PF00118	46	TCP-1/cpn60 chaperonin family
PF14566	45	Inositol hexakisphosphate
PF12894	45	Anaphase-promoting complex subunit 4 WD40 domain
PF09294	45	Interferon-alpha/beta receptor, fibronectin type III
PF02748	45	Aspartate carbamoyltransferase regulatory chain, metal binding domain
PF02745	45	Methyl-coenzyme M reductase alpha subunit, N-terminal domain
PF02615	45	Malate/L-lactate dehydrogenase
PF02604	45	Antitoxin Phd_YefM, type II toxin-antitoxin system
PF02249	45	Methyl-coenzyme M reductase alpha subunit, C-terminal domain
PF02214	45	BTB/POZ domain
PF01948	45	Aspartate carbamoyltransferase regulatory chain, allosteric domain
PF01503	45	Phosphoribosyl-ATP pyrophosphohydrolase
PF01154	45	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF00469	45	Negative factor, (F-Protein) or Nef
PF00465	45	Iron-containing alcohol dehydrogenase 
PF00301	45	Rubredoxin
PF00267	45	Gram-negative porin
PF13091	44	PLD-like domain
PF10436	44	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
PF07653	44	Variant SH3 domain
PF03853	44	YjeF-related protein N-terminus
PF02742	44	Iron dependent repressor, metal binding and dimerisation domain
PF02347	44	Glycine cleavage system P-protein
PF01259	44	SAICAR synthetase
PF01223	44	DNA/RNA non-specific endonuclease
PF00677	44	Lumazine binding domain
PF00613	44	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00510	44	Cytochrome c oxidase subunit III
PF14552	43	Tautomerase enzyme
PF03435	43	Saccharopine dehydrogenase NADP binding domain
PF02789	43	Cytosol aminopeptidase family, N-terminal domain
PF02580	43	D-Tyr-tRNA(Tyr) deacylase
PF01614	43	Bacterial transcriptional regulator
PF00926	43	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00787	43	PX domain
PF00544	43	Pectate lyase
PF00521	43	DNA gyrase/topoisomerase IV, subunit A
PF00351	43	Biopterin-dependent aromatic amino acid hydroxylase
PF16891	42	Serine-threonine protein phosphatase N-terminal domain
PF12849	42	PBP superfamily domain
PF07980	42	SusD family
PF04940	42	Sensors of blue-light using FAD
PF03441	42	FAD binding domain of DNA photolyase
PF03063	42	Prismane/CO dehydrogenase family
PF02883	42	Adaptin C-terminal domain
PF01712	42	Deoxynucleoside kinase
PF01325	42	Iron dependent repressor, N-terminal DNA binding domain
PF01229	42	Glycosyl hydrolases family 39
PF00937	42	Coronavirus nucleocapsid protein
PF00764	42	Arginosuccinate synthase
PF00615	42	Regulator of G protein signaling domain
PF16912	41	Glucose dehydrogenase C-terminus
PF15009	41	Transmembrane protein 173
PF12706	41	Beta-lactamase superfamily domain
PF09199	41	Staphylococcal superantigen-like OB-fold domain 
PF08881	41	CVNH domain
PF04997	41	RNA polymerase Rpb1, domain 1
PF03936	41	Terpene synthase family, metal binding domain
PF03641	41	Possible lysine decarboxylase
PF03388	41	Legume-like lectin family
PF03070	41	TENA/THI-4/PQQC family
PF02401	41	LytB protein
PF02348	41	Cytidylyltransferase
PF02295	41	Adenosine deaminase z-alpha domain
PF01923	41	Cobalamin adenosyltransferase
PF01397	41	Terpene synthase, N-terminal domain
PF01274	41	Malate synthase
PF00318	41	Ribosomal protein S2
PF00306	41	ATP synthase alpha/beta chain, C terminal domain
PF00162	41	Phosphoglycerate kinase
PF00142	41	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF16531	40	Centriolar protein SAS N-terminal
PF16197	40	Ketoacyl-synthetase C-terminal extension
PF13527	40	Acetyltransferase (GNAT) domain
PF08530	40	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
PF07971	40	Glycosyl hydrolase family 92
PF07367	40	Fungal fruit body lectin
PF05416	40	Southampton virus-type processing peptidase
PF03301	40	Tryptophan 2,3-dioxygenase
PF03271	40	EB1-like C-terminal motif
PF02753	40	Pili assembly chaperone PapD, C-terminal domain
PF02548	40	Ketopantoate hydroxymethyltransferase
PF01398	40	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF00828	40	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00814	40	Glycoprotease family
PF00620	40	RhoGAP domain
PF13580	39	SIS domain
PF13420	39	Acetyltransferase (GNAT) domain
PF13279	39	Thioesterase-like superfamily
PF13098	39	Thioredoxin-like domain
PF08702	39	Fibrinogen alpha/beta chain family
PF08546	39	Ketopantoate reductase PanE/ApbA C terminal
PF07995	39	Glucose / Sorbosone dehydrogenase
PF03893	39	Lipase 3 N-terminal region
PF03767	39	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF03610	39	PTS system fructose IIA component
PF03210	39	Paramyxovirus P/V phosphoprotein C-terminal
PF02867	39	Ribonucleotide reductase, barrel domain
PF02783	39	Methyl-coenzyme M reductase beta subunit, N-terminal domain
PF02633	39	Creatinine amidohydrolase
PF02241	39	Methyl-coenzyme M reductase beta subunit, C-terminal domain
PF02240	39	Methyl-coenzyme M reductase gamma subunit
PF01754	39	A20-like zinc finger
PF01601	39	Coronavirus S2 glycoprotein
PF01463	39	Leucine rich repeat C-terminal domain
PF01301	39	Glycosyl hydrolases family 35
PF00912	39	Transglycosylase
PF00547	39	Urease, gamma subunit
PF00126	39	Bacterial regulatory helix-turn-helix protein, lysR family
PF14651	38	Lipocalin / cytosolic fatty-acid binding protein family
PF13673	38	Acetyltransferase (GNAT) domain
PF11531	38	Coactivator-associated arginine methyltransferase 1 N terminal
PF08718	38	Glycolipid transfer protein (GLTP)
PF08448	38	PAS fold
PF05401	38	Nodulation protein S (NodS)
PF05195	38	Aminopeptidase P, N-terminal domain
PF04209	38	homogentisate 1,2-dioxygenase
PF03958	38	Bacterial type II/III secretion system short domain
PF03848	38	Tellurite resistance protein TehB
PF02421	38	Ferrous iron transport protein B
PF01588	38	Putative tRNA binding domain
PF01329	38	Pterin 4 alpha carbinolamine dehydratase
PF00962	38	Adenosine/AMP deaminase
PF00794	38	PI3-kinase family, ras-binding domain
PF00792	38	Phosphoinositide 3-kinase C2
PF00749	38	tRNA synthetases class I (E and Q), catalytic domain
PF00556	38	Antenna complex alpha/beta subunit
PF00480	38	ROK family
PF00408	38	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00234	38	Protease inhibitor/seed storage/LTP family
PF00204	38	DNA gyrase B
PF17450	37	Alpha galactosidase A C-terminal beta sandwich domain
PF13412	37	Winged helix-turn-helix DNA-binding
PF12802	37	MarR family
PF11921	37	Domain of unknown function (DUF3439)
PF11895	37	Fungal peroxidase extension region
PF04777	37	Erv1 / Alr family
PF03828	37	Cid1 family poly A polymerase
PF02913	37	FAD linked oxidases, C-terminal domain
PF02832	37	Flavivirus glycoprotein, immunoglobulin-like domain
PF02449	37	Beta-galactosidase
PF02136	37	Nuclear transport factor 2 (NTF2) domain
PF02016	37	LD-carboxypeptidase
PF01895	37	PhoU domain
PF01704	37	UTP--glucose-1-phosphate uridylyltransferase
PF01402	37	Ribbon-helix-helix protein, copG family
PF01322	37	Cytochrome C'
PF00503	37	G-protein alpha subunit
PF00381	37	PTS HPr component phosphorylation site
PF00295	37	Glycosyl hydrolases family 28
PF00178	37	Ets-domain
PF16561	36	Glycogen recognition site of AMP-activated protein kinase
PF13531	36	Bacterial extracellular solute-binding protein
PF13409	36	Glutathione S-transferase, N-terminal domain
PF13344	36	Haloacid dehalogenase-like hydrolase
PF09379	36	FERM N-terminal domain 
PF08715	36	Papain like viral protease
PF08447	36	PAS fold
PF06314	36	Acetoacetate decarboxylase (ADC)
PF05171	36	Haemin-degrading HemS.ChuX domain
PF03630	36	Fumble 
PF02261	36	Aspartate decarboxylase
PF02182	36	SAD/SRA domain
PF01833	36	IPT/TIG domain
PF01687	36	Riboflavin kinase
PF01638	36	HxlR-like helix-turn-helix
PF01619	36	Proline dehydrogenase
PF01298	36	C-lobe and N-lobe beta barrels of Tf-binding protein B
PF00797	36	N-acetyltransferase
PF00650	36	CRAL/TRIO domain
PF00575	36	S1 RNA binding domain
PF00549	36	CoA-ligase
PF00261	36	Tropomyosin
PF00193	36	Extracellular link domain
PF00130	36	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00088	36	Trefoil (P-type) domain
PF14789	35	Tetrahydrodipicolinate N-succinyltransferase middle
PF14520	35	Helix-hairpin-helix domain
PF14306	35	PUA-like domain
PF13857	35	Ankyrin repeats (many copies)
PF13671	35	AAA domain
PF13500	35	AAA domain
PF13405	35	EF-hand domain
PF13336	35	Acetyl-CoA hydrolase/transferase C-terminal domain
PF12838	35	4Fe-4S dicluster domain
PF12134	35	PRP8 domain IV core
PF09380	35	FERM C-terminal PH-like domain
PF08327	35	Activator of Hsp90 ATPase homolog 1-like protein
PF08210	35	APOBEC-like N-terminal domain
PF05881	35	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
PF05853	35	beta-keto acid cleavage enzyme
PF05351	35	GMP-PDE, delta subunit
PF05033	35	Pre-SET motif
PF04444	35	Catechol dioxygenase N terminus
PF04146	35	YT521-B-like domain
PF02910	35	Fumarate reductase flavoprotein C-term
PF02900	35	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02872	35	5'-nucleotidase, C-terminal domain
PF02550	35	Acetyl-CoA hydrolase/transferase N-terminal domain
PF01872	35	RibD C-terminal domain
PF01558	35	Pyruvate ferredoxin/flavodoxin oxidoreductase
PF01373	35	Glycosyl hydrolase family 14
PF01256	35	Carbohydrate kinase
PF00325	35	Bacterial regulatory proteins, crp family
PF00313	35	'Cold-shock' DNA-binding domain
PF00241	35	Cofilin/tropomyosin-type actin-binding protein
PF00218	35	Indole-3-glycerol phosphate synthase
PF16657	34	Maltogenic Amylase, C-terminal domain
PF13599	34	Pentapeptide repeats (9 copies)
PF13393	34	Histidyl-tRNA synthetase
PF13380	34	CoA binding domain
PF11563	34	Protoglobin
PF10282	34	Lactonase, 7-bladed beta-propeller
PF09021	34	HutP
PF05996	34	Ferredoxin-dependent bilin reductase
PF03860	34	Domain of Unknown Function (DUF326) 
PF03810	34	Importin-beta N-terminal domain
PF03607	34	Doublecortin
PF03471	34	Transporter associated domain
PF01880	34	Desulfoferrodoxin
PF01627	34	Hpt domain
PF01536	34	Adenosylmethionine decarboxylase
PF01083	34	Cutinase
PF00877	34	NlpC/P60 family
PF00790	34	VHS domain
PF00638	34	RanBP1 domain
PF00317	34	Ribonucleotide reductase, all-alpha domain
PF00216	34	Bacterial DNA-binding protein
PF00173	34	Cytochrome b5-like Heme/Steroid binding domain
PF00122	34	E1-E2 ATPase
PF00035	34	Double-stranded RNA binding motif
PF16653	33	Saccharopine dehydrogenase C-terminal domain
PF13532	33	2OG-Fe(II) oxygenase superfamily
PF12740	33	Chlorophyllase enzyme
PF08515	33	Transforming growth factor beta type I GS-motif
PF05357	33	Phage Coat Protein A
PF05173	33	Dihydrodipicolinate reductase, C-terminus
PF05148	33	Hypothetical methyltransferase
PF04820	33	Tryptophan halogenase
PF03060	33	Nitronate monooxygenase
PF02811	33	PHP domain
PF02773	33	S-adenosylmethionine synthetase, C-terminal domain
PF02772	33	S-adenosylmethionine synthetase, central domain
PF02755	33	RPEL repeat
PF02736	33	Myosin N-terminal SH3-like domain
PF02351	33	GDNF/GAS1 domain
PF02301	33	HORMA domain
PF02230	33	Phospholipase/Carboxylesterase
PF02140	33	Galactose binding lectin domain
PF02011	33	Glycosyl hydrolase family 48
PF01850	33	PIN domain
PF01761	33	3-dehydroquinate synthase
PF01634	33	ATP phosphoribosyltransferase
PF01560	33	Hepatitis C virus non-structural protein E2/NS1
PF01475	33	Ferric uptake regulator family
PF00596	33	Class II Aldolase and Adducin N-terminal domain
PF00589	33	Phage integrase family
PF00443	33	Ubiquitin carboxyl-terminal hydrolase
PF00438	33	S-adenosylmethionine synthetase, N-terminal domain
PF00340	33	Interleukin-1 / 18
PF00230	33	Major intrinsic protein
PF00001	33	7 transmembrane receptor (rhodopsin family)
PF13473	32	Cupredoxin-like domain
PF13180	32	PDZ domain
PF11396	32	Putative beta-lactamase-inhibitor-like, PepSY-like
PF10600	32	PDZ-associated domain of NMDA receptors
PF10531	32	SLBB domain
PF08264	32	Anticodon-binding domain of tRNA
PF07832	32	Cfr10I/Bse634I restriction endonuclease
PF07691	32	PA14 domain
PF07503	32	HypF finger
PF06964	32	Alpha-L-arabinofuranosidase C-terminal domain
PF04198	32	Putative sugar-binding domain
PF03887	32	YfbU domain
PF03454	32	MoeA C-terminal region (domain IV)
PF03453	32	MoeA N-terminal region (domain I and II)
PF03403	32	Platelet-activating factor acetylhydrolase, isoform II
PF03321	32	GH3 auxin-responsive promoter
PF02581	32	Thiamine monophosphate synthase
PF02527	32	rRNA small subunit methyltransferase G
PF02452	32	PemK-like, MazF-like toxin of type II toxin-antitoxin system
PF01814	32	Hemerythrin HHE cation binding domain
PF01501	32	Glycosyl transferase family 8
PF01485	32	IBR domain, a half RING-finger domain
PF01470	32	Pyroglutamyl peptidase
PF01369	32	Sec7 domain
PF01343	32	Peptidase family S49
PF01210	32	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF00768	32	D-alanyl-D-alanine carboxypeptidase
PF00537	32	Scorpion toxin-like domain 
PF00239	32	Resolvase, N terminal domain
PF00201	32	UDP-glucoronosyl and UDP-glucosyl transferase
